RowId,RssdId,ParentId,InstitutionName,InstitutionType,City,StateOrCountry
966,4982449,5010125,"HANGZHOU MORGAN STANLEY GRAND WAVES INVESTMENT MANAGEMENT PARTNERSHIP ENTERPRISE, L.P.",International Nonbank Sub of Domestic Entities,HANGZHOU,"CHINA, PEOPLES REPUBLIC OF              "
967,4982458,4982449,HANGZHOU CHAMPION EQUITY INVESTMENT PARTNERSHIP (LIMITED PARTNERSHIP),International Nonbank Sub of Domestic Entities,HANGZHOU,"CHINA, PEOPLES REPUBLIC OF              "
968,5131365,4982458,SHANGHAI SHUNYANG BUSINESS INFORMATION CONSULTANCY PARTNERSHIP,International Nonbank Sub of Domestic Entities,SHANGHAI,"CHINA, PEOPLES REPUBLIC OF              "
969,5131365,4982449,SHANGHAI SHUNYANG BUSINESS INFORMATION CONSULTANCY PARTNERSHIP,International Nonbank Sub of Domestic Entities,SHANGHAI,"CHINA, PEOPLES REPUBLIC OF              "
970,4982449,4367073,"HANGZHOU MORGAN STANLEY GRAND WAVES INVESTMENT MANAGEMENT PARTNERSHIP ENTERPRISE, L.P.",International Nonbank Sub of Domestic Entities,HANGZHOU,"CHINA, PEOPLES REPUBLIC OF              "
971,5679205,4367073,HANGZHOU GALAXY ENTERPRISE MANAGEMENT CONSULTING PARTNERSHIP (LIMITED PARTNERSHIP),International Nonbank Sub of Domestic Entities,HANGZHOU CITY,"CHINA, PEOPLES REPUBLIC OF              "
972,5590494,5679205,HANGZHOU MORGAN STANLEY CHANSON ENTERPRISE MANAGEMENT CONSULTING PARTNERSHIP (LIMITED PARTNERSHIP),International Nonbank Sub of Domestic Entities,HANGZHOU CITY,"CHINA, PEOPLES REPUBLIC OF              "
973,4458971,4367073,"HANGZHOU MORGAN STANLEY INVESTMENT CONSULTING PARTNERSHIP ENTERPRISE, L.P.",International Nonbank Sub of Domestic Entities,HANGZHOU,"CHINA, PEOPLES REPUBLIC OF              "
974,4369040,3936708,MORGAN STANLEY UK FINANCING II LP,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
975,3934610,3936708,MORGAN STANLEY TURNBERRY LIMITED,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
976,3937077,3934610,MORGAN STANLEY MONTGOMERIE INVESTMENTS LIMITED,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
977,4165569,3937077,MORGAN STANLEY EQUITY DERIVATIVE SERVICES (LUXEMBOURG) S.A R.L,International Nonbank Sub of Domestic Entities,LUXEMBOURG,LUXEMBOURG                              
978,3936490,3937077,MORGAN STANLEY MALLARD INVESTMENTS LIMITED,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
979,3936397,3936490,MORGAN STANLEY MILLBRAE INVESTMENTS B.V.,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
980,3949614,3937077,MORGAN STANLEY LANGTREE INVESTMENTS B.V.,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
981,3934535,3936708,MORGAN STANLEY B.V.,International Nonbank Sub of Domestic Entities,AMSTERDAM,NETHERLANDS                             
982,4057244,3936708,MORGAN STANLEY INDIA PRIMARY DEALER PRIVATE LIMITED,International Nonbank Sub of Domestic Entities,MUMBAI,INDIA (OTHER)                           
983,3934423,3936708,MORGAN STANLEY INTERNATIONAL FINANCE S. A.,International Nonbank Sub of Domestic Entities,LUXEMBOURG,LUXEMBOURG                              
984,4165550,3934423,MORGAN STANLEY LUXEMBOURG FINANCING I S.A R.L,International Nonbank Sub of Domestic Entities,LUXEMBOURG,LUXEMBOURG                              
985,3930126,3934423,MORGAN STANLEY CAPITAL HOLDINGS,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
986,4057301,3936708,MORGAN STANLEY COMMODITIES TRADING HONG KONG HOLDINGS LIMITED,International Nonbank Sub of Domestic Entities,KOWLOON,HONG KONG                               
987,4048907,3936708,MS CHINA 16 LIMITED,International Nonbank Sub of Domestic Entities,GEORGE TOWN,CAYMAN ISLANDS                          
