RowId,RssdId,ParentId,InstitutionName,InstitutionType,City,StateOrCountry
1051,3946873,3936463,NORFOLK TRADING B.V.,International Nonbank Sub of Domestic Entities,LONDON,ENGLAND                                 
1052,3998014,3936463,MORGAN STANLEY UK TRADER,International Nonbank Sub of Domestic Entities,LONDON,ENGLAND                                 
1053,3997875,3998014,MORGAN STANLEY CORPORATE TRADER,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
1054,3936267,3936708,MORGAN STANLEY INTERNATIONAL LIMITED,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
1055,3936735,3936267,MORGAN STANLEY GROUP (EUROPE),International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
1056,5435081,3936267,MORGAN STANLEY LIMITED LIABILITY COMPANY,International Nonbank Sub of Domestic Entities,MOSCOW,RUSSIA                                  
1057,5372065,3936267,MORGAN STANLEY INVESTMENT MANAGEMENT (IRELAND) LIMITED,International Nonbank Sub of Domestic Entities,DUBLIN,IRELAND                                 
1058,5372074,3936267,MSIM FUND MANAGEMENT (IRELAND) LIMITED,International Nonbank Sub of Domestic Entities,DUBLIN,IRELAND                                 
1059,5589023,5372074,EATON VANCE GLOBAL ADVISORS LIMITED,International Nonbank Sub of Domestic Entities,DUBLIN,IRELAND                                 
1060,5372083,3936267,MORGAN STANLEY EUROPE HOLDING SE,International Nonbank Sub of Domestic Entities,FRANKFURT AM MAIN,GERMANY                                 
1061,5081714,5372083,MORGAN STANLEY FRANCE HOLDINGS I S.A.S.,International Nonbank Sub of Domestic Entities,PARIS,FRANCE (OTHER)                          
1062,4024200,5081714,MORGAN STANLEY FRANCE S.A.,International Nonbank Sub of Domestic Entities,PARIS,FRANCE (OTHER)                          
1063,5086241,5081714,MORGAN STANLEY FRANCE HOLDINGS II S.A.S.,International Nonbank Sub of Domestic Entities,PARIS,FRANCE (OTHER)                          
1064,4024200,5086241,MORGAN STANLEY FRANCE S.A.,International Nonbank Sub of Domestic Entities,PARIS,FRANCE (OTHER)                          
1065,5372104,5372083,MORGAN STANLEY EUROPE SE,International Nonbank Sub of Domestic Entities,FRANKFURT AM MAIN,GERMANY                                 
1066,3936717,5372104,MORGAN STANLEY BANK AG,International Nonbank Sub of Domestic Entities,FRANKFURT AM MAIN,GERMANY                                 
1067,4051756,3936267,MORGAN STANLEY EMPLOYMENT SERVICES UK LIMITED,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
1068,3937116,3936267,MORGAN STANLEY UK GROUP,International Nonbank Sub of Domestic Entities,LONDON,ENGLAND                                 
1069,3937086,3937116,MORGAN STANLEY SERVICES (UK) LIMITED,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
1070,3934674,3936267,MORGAN STANLEY INVESTMENTS (UK),International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
1071,3936726,3934674,MORGAN STANLEY BANK INTERNATIONAL LIMITED,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
1072,3930069,3934674,MORGAN STANLEY & CO. LIMITED,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
1073,3890565,3934674,MORGAN STANLEY & CO. INTERNATIONAL PLC,International Nonbank Sub of Domestic Entities,LONDON,ENGLAND                                 
1074,4877684,3890565,ALPHAS MANAGED ACCOUNTS PLATFORM LIII LIMITED,International Nonbank Sub of Domestic Entities,DUBLIN,IRELAND                                 
